ma_nguoi_dung,ho_ten,email,sdt,ngay_sinh,gioi_tinh,cccd,vai_tro,trang_thai,created_at,ma_chi_nhanh,ma_hsdn
00000000-0000-0000-0000-000000000001,Quan tri vien he thong,admin@ec.local,0900000001,1992-08-20,Nam,079092008888,Admin he thong,Dang hoat dong,2025-07-28 09:34:18.18177+00,,
00000000-0000-0000-0000-000000000002,Nguyen Ngọc Minh Ánh,minhanh@ec.local,0900032101,2002-04-12,Nu,079202000002,Khach hang,Dang hoat dong,2026-01-29 09:34:18.18177+00,,
00000000-0000-0000-0000-000000000003,Tran Thu Ha,thuha@ec.local,0900000003,2001-09-12,Nu,079201000003,Khach hang,Dang hoat dong,2026-03-30 09:34:18.18177+00,,
00000000-0000-0000-0000-000000000004,Le Quoc Bao,quocbao@ec.local,0900000004,2000-06-08,Nam,079200000004,Khach hang,Tam khoa,2026-04-29 09:34:18.18177+00,,
00000000-0000-0000-0000-000000000011,Nguyễn Ngọc Hương Linh,nnhh.amthuc@ec.local,0905600001,1988-08-15,Nu,079023333334,Nguoi dai dien,Dang hoat dong,2025-10-01 09:34:18.18177+00,,20000000-0000-0000-0000-000000000001
00000000-0000-0000-0000-000000000012,Vo Ngoc Lan,manager.amthuc@ec.local,0900666001,1992-07-19,Nu,079092000012,Nhan vien ban hang,Dang hoat dong,2025-10-11 09:34:18.18177+00,2d5617a6-f948-437e-9bd7-ae70f5d7ff61,
00000000-0000-0000-0000-000000000013,Lam Tuan Kiet,staff.nguyenhue@ec.local,0900000013,1998-01-07,Nam,079098000013,Nhan vien ban hang,Dang hoat dong,2025-11-20 09:34:18.18177+00,30000000-0000-0000-0000-000000000004,
00000000-0000-0000-0000-000000000021,Nguyen Thi An,owner.spa@ec.local,0900000021,1987-10-05,Nu,079087000021,Nguoi dai dien,Dang hoat dong,2026-07-08 09:34:18.18177+00,,20000000-0000-0000-0000-000000000002
00000000-0000-0000-0000-000000000031,Truong Van Hung,owner.edu@ec.local,0900000031,1985-05-22,Nam,079085000031,Nguoi dai dien,Dang hoat dong,2026-06-18 09:34:18.18177+00,,20000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000032,Phan Mai Chi,manager.edu@ec.local,0900000032,1991-08-14,Nu,079091000032,Nhan vien quan ly voucher,Dang hoat dong,2026-06-20 09:34:18.18177+00,,20000000-0000-0000-0000-000000000003
